"","x"
"1226",5608
"1227",712
"1228",55151
"1229",8531
"1230",80227
"1231",4171
"1232",1213
"1233",9841
"1234",23024
"1235",6238
"1236",63941
"1237",3557
"1238",23288
"1239",2920
"1240",6223
"1241",24138
"1242",7360
"1243",25813
"1244",1672
"1245",55686
"1246",8847
"1247",57001
"1248",5836
"1249",51191
"1250",3587
"1251",4673
"1252",6253
"1253",6429
"1254",6583
"1255",2207
"1256",57446
"1257",10555
"1258",2181
"1259",10279
"1260",3712
"1261",9648
"1262",55974
"1263",53
"1264",1457
"1265",3055
"1266",9533
"1267",10959
"1268",388796
"1269",26054
"1270",79971
"1271",3772
"1272",9764
"1273",11045
"1274",3628
"1275",54872
"1276",2947
"1277",29058
"1278",80208
"1279",2810
"1280",25842
"1281",51012
"1282",55614
"1283",2937
"1284",103
"1285",3301
"1286",10460
"1287",2801
"1288",84263
"1289",10288
"1290",4299
"1291",26469
"1292",9143
"1293",22982
"1294",3936
"1295",29889
"1296",471
"1297",23279
"1298",79144
"1299",22834
"1300",57460
"1301",57509
"1302",92595
"1303",5033
"1304",10096
"1305",1946
"1306",5979
"1307",1382
"1308",10905
"1309",2781
"1310",55813
"1311",84061
"1312",7398
"1313",23423
"1314",64860
"1315",80896
"1316",10712
"1317",301
"1318",54682
"1319",6947
"1320",11161
"1321",8869
"1322",323
"1323",55540
"1324",3993
"1325",23350
"1326",4689
"1327",4599
"1328",392
"1329",9469
"1330",2820
"1331",8269
"1332",4179
"1333",63901
"1334",9595
"1335",7570
"1336",23158
"1337",9528
"1338",64421
"1339",79820
"1340",7468
"1341",1847
"1342",126298
"1343",3682
"1344",152006
"1345",8345
"1346",55640
"1347",3937
"1348",6643
"1349",11073
"1350",79668
"1351",10873
"1352",64710
"1353",2590
"1354",6039
"1355",50486
"1356",6518
"1357",64318
"1358",9179
"1359",56731
"1360",55651
"1361",9770
"1362",330
"1363",51074
"1364",6764
"1365",79180
"1366",3775
"1367",79866
"1368",9703
"1369",54793
"1370",55726
"1371",4094
"1372",6774
"1373",55681
"1374",8899
"1375",840
"1376",10447
"1377",22916
"1378",27040
"1379",715
"1380",5551
"1381",7227
"1382",3910
"1383",10687
"1384",1117
"1385",6626
"1386",11104
"1387",9829
"1388",1436
"1389",54996
"1390",10023
"1391",10092
"1392",27336
"1393",29893
"1394",3422
"1395",5652
"1396",6674
"1397",5427
"1398",5358
"1399",55761
"1400",92342
"1401",6448
"1402",7188
"1403",79621
"1404",8424
"1405",254531
"1406",6627
"1407",9747
"1408",728
"1409",9050
"1410",10226
"1411",23555
"1412",79101
"1413",55249
"1414",7039
"1415",4087
"1416",28984
"1417",64847
"1418",57150
"1419",8829
"1420",10963
"1421",56938
"1422",8408
"1423",7187
"1424",55183
"1425",26020
"1426",24137
"1427",4013
"1428",6908
"1429",23208
"1430",2014
"1431",1153
"1432",11183
"1433",997
"1434",2033
"1435",55303
"1436",1027
"1437",55486
"1438",112950
"1439",79932
"1440",51596
"1441",11014
"1442",27352
"1443",7128
"1444",6809
"1445",5788
"1446",10318
"1447",8767
"1448",6642
"1449",8925
"1450",23126
"1451",9918
"1452",55733
"1453",11258
"1454",51643
"1455",22883
"1456",5475
"1457",79802
"1458",1439
"1459",7127
"1460",5216
"1461",23111
"1462",5563
"1463",5480
"1464",306
"1465",2110
"1466",3290
"1467",7072
"1468",440026
"1469",27068
"1470",5500
"1471",5095
"1472",10560
"1473",100272216
"1474",29086
"1475",81579
"1476",10490
"1477",53371
"1478",7071
"1479",3576
"1480",80319
"1481",55450
"1482",64981
"1483",5272
"1484",2053
"1485",950
"1486",6605
"1487",5435
"1488",27347
"1489",5993
"1490",7531
"1491",5434
"1492",3915
"1493",79939
"1494",2767
"1495",102
"1496",963
"1497",114899
"1498",51706
"1499",3017
"1500",26872
"1501",79691
"1502",9871
"1503",2058
"1504",1844
"1505",2357
"1506",2065
"1507",2592
"1508",6645
"1509",272
"1510",23543
"1511",22862
"1512",1622
"1513",9847
"1514",2026
"1515",5664
"1516",168544
"1517",7157
"1518",3887
"1519",1031
"1520",5168
"1521",26010
"1522",79676
"1523",51177
"1524",4267
"1525",9639
"1526",1833
"1527",10210
"1528",2589
"1529",713
"1530",11010
"1531",29967
"1532",3600
"1533",8851
"1534",54894
"1535",7077
"1536",7993
"1537",55833
"1538",4659
"1539",2153
"1540",2977
"1541",8045
"1542",9112
"1543",22874
"1544",2295
"1545",3002
"1546",72
"1547",90333
"1548",57506
"1549",22974
"1550",962
"1551",5558
"1552",3418
"1553",64116
"1554",6091
"1555",3705
"1556",54619
"1557",79850
"1558",5361
"1559",6480
"1560",3400
"1561",9987
"1562",6256
"1563",3861
"1564",5524
"1565",5523
"1566",55840
"1567",9240
"1568",4175
"1569",55148
"1570",27295
"1571",1981
"1572",23271
"1573",5341
"1574",22906
"1575",4293
"1576",8777
"1577",23036
"1578",80148
"1579",7004
"1580",55278
"1581",6217
"1582",6117
"1583",483
"1584",926
"1585",1396
"1586",10985
"1587",79087
"1588",29062
"1589",8813
"1590",7091
"1591",22820
"1592",2289
"1593",112
"1594",10142
"1595",6489
"1596",9873
"1597",6549
"1598",23462
"1599",11332
"1600",23550
"1601",23650
"1602",3695
"1603",11004
"1604",261726
"1605",51109
"1606",7385
"1607",79009
"1608",57761
"1609",51588
"1610",5378
"1611",5029
"1612",3142
"1613",5257
"1614",10724
"1615",3934
"1616",27299
"1617",51742
"1618",6434
"1619",2217
"1620",7031
"1621",547
"1622",108
"1623",2261
"1624",23583
"1625",79778
"1626",2268
"1627",26471
"1628",81853
"1629",8100
"1630",1362
"1631",5902
"1632",27247
"1633",79960
"1634",6611
"1635",22944
"1636",55125
"1637",23002
"1638",58533
"1639",9813
"1640",23195
"1641",27292
"1642",29127
"1643",79682
"1644",9474
"1645",54819
"1646",1939
"1647",51449
"1648",8726
"1649",8607
"1650",5727
"1651",9282
"1652",6141
"1653",9712
"1654",1944
"1655",10867
"1656",7314
"1657",55701
"1658",334
"1659",3108
"1660",23597
"1661",55703
"1662",6165
"1663",23764
"1664",2956
"1665",55093
"1666",8659
"1667",644
"1668",545
"1669",8050
"1670",56922
"1671",830
"1672",109
"1673",10309
"1674",200576
"1675",3553
"1676",4753
